Month,"Bus journey within  city , per  drop constant  route (NGN)","Bus journey intercity, state route, charge per drop (NGN)",Journey by motorcycle (okada) per drop (NGN)
Jan-16,77.56597344,1091.924019,75.48642367
Feb-16,83.65190948,1120.547209,75.43283496
Mar-16,83.03949378,1167.664965,78.85476836
Apr-16,86.26773917,1182.497022,88.13940919
May-16,89.11881194,1168.29609,82.77141205
Jun-16,88.75958742,1231.751316,83.03830791
Jul-16,89.51501568,1234.425642,81.23485658
Aug-16,94.48762031,1223.158252,84.964739
Sep-16,99.4972012,1313.089272,85.99588898
Oct-16,102.6437723,1305.246064,91.3725047
Nov-16,117.9375384,1311.237238,94.03802013
Dec-16,151.3121018,1631.140683,109.7722268
Jan-17,125.0278434,1430.630548,94.22525579
Feb-17,123.5865642,1411.865399,93.93419019
Mar-17,129.8818391,1466.456526,97.31130046
Apr-17,134.66082,1587.038674,100.8234023
May-17,130.6366957,1564.730118,99.49397682
Jun-17,127.2333663,1559.678967,101.5262774
Jul-17,127.8564273,1573.741717,103.5602024
Aug-17,125.4471873,1515.260457,99.74755289
Sep-17,129.284226,1518.770712,99.75917919
Oct-17,128.5446716,1474.901872,95.49599274
Nov-17,138.1917257,1504.99891,96.77045729
Dec-17,168.098713,1761.939813,109.6247918
Jan-18,183.8563141,1889.691972,120.0126715
Feb-18,171.8498516,1768.074618,109.9285791
Mar-18,160.992285,1668.563775,101.4867629
Apr-18,165.9440286,1722.856616,106.249635
May-18,166.8502199,1716.314358,105.5522729
Jun-18,168.8978378,1729.006757,106.0648649
Jul-18,170.027027,1733.378378,107.4324324
Aug-18,186.6919357,1814.3867,120.6151325
Sep-18,185.4683784,1813.766216,119.0418919
Oct-18,192.5592516,1832.288374,118.5424393
Nov-18,192.4594595,1790.135135,121.7567568
Dec-18,181.6128188,1670.86584,118.3536023
Mar-19,181.3610703,1592.074024,116.2905939
Apr-19,181.2410811,1604.364865,116.2972973
May-19,182.3694169,1604.21676,117.425123
Jun-19,182.8421622,1606.921622,117.0027027
Jul-19,184.9486486,1619.054054,118.6216216
Aug-19,188.4054054,1624.756757,120.6486486
Sep-19,189.0540541,1627.27027,121.027027
Oct-19,190.8648649,1636.864865,123.1621622
Nov-19,192.0540541,1643,125.5405405
Dec-19,198.5945946,1666.567568,130.5405405
Jan-20,201.5135135,1681.378378,132.8378378
Feb-20,202.8878378,1696.756757,134.9378378
Mar-20,206.7257153,1691.225713,134.0689538
Apr-20,223.7072072,1779.507508,148.2216762
May-20,222.4594595,1803.594595,152.1081081
Jun-20,229.9375676,1823.621622,158.1351351
Jul-20,247.4567568,1901.25,172.4554054
Aug-20,286.9881081,2071.03973,196.7318919
Sep-20,309.7283784,2182.452703,219.6991892
Oct-20,322.2194595,2209.837027,229.4645946
Nov-20,333.8643243,2240.657568,239.3610811
Dec-20,352.9562162,2316.403243,258.6448649
Jan-21,352.15,2346.409189,262.0327027
Feb-21,361.3113514,2372.872973,266.7413514
Mar-21,377.27,2411.291351,271.4367568
Apr-21,386.0983784,2446.859189,276.3024324
May-21,399.0597297,2490.595405,282.6694595
Jun-21,410.2308108,2522.444324,291.1810811
Jul-21,416.3835135,2542.016757,286.9945946
Aug-21,430.5813514,2588.694054,303.3516216
Sep-21,435.36,2620.898378,306.6064865
Oct-21,440.0935135,2634.45973,310.1291892
Nov-21,446.4981081,2644.498108,316.29
Dec-21,470.8257868,2784.917319,332.3675856
Jan-22,476.3855148,2801.336804,340.9391748
Feb-22,513.7166453,3836.446732,379.1161176
Mar-22,536.3527637,3270.937614,395.1233791
Apr-22,570.6416235,3557.152344,426.8365911
May-22,581.7859328,3668.640058,417.3907477
Jun-22,582.6094595,3662.867568,416.9675676
Jul-22,602.7706785,3758.46416,435.0724541
Aug-22,602.7059459,3779.956757,439.7956757
Sep-22,616.2797297,3790.057838,434.7318919
Oct-22,636.8335135,3845.805405,458.0537838
Nov-22,637.0997297,3848.481622,459.0224324
Dec-22,644.6613514,3971.215405,461.4521622
Jan-23,650.7975676,3998.416216,466.2478378
Feb-23,647.5435135,3990.702703,461.2813514
Mar-23,648.1567568,3992.359459,462.2083784
Apr-23,648.1205405,3994.511351,462.2894595
May-23,649.5937838,4002.162432,464.5497297
Jun-23,1306.216216,5686.49027,618.5167568
Jul-23,1336.288108,5919.491008,646.1229858
Aug-23,1336.382432,5918.18027,646.1208108
Sep-23,1337.797838,5917.161622,646.2852703
Oct-23,1117.297297,5885.675676,507.2972973
Nov-23,1047.635135,6206.531532,473.1306306
Dec-23,902.7027027,7402.162162,419.7297297
Jan-24,963.3783784,7577.027027,456.2162162
Feb-24,951.7567568,7002.972973,467.8378378
Mar-24,969.3243243,7152.972973,472.1621622
Apr-24,967.7567568,7122.567568,476.4864865
May-24,976.0810811,7129.459459,473.5135135
Jun-24,963.5832702,7092.034324,477.4885586
Jul-24,942.6111381,7117.167264,483.3252222
Aug-24,869.3530821,7158.995124,524.2172062
Sep-24,899.3131512,7175.060008,531.9964745
Oct-24,908.1511096,7187.616673,535.9777237
Nov-24,904.4705405,7201.819189,543.8381081
Dec-24,923.8373971,7571.960314,562.9452612
