municipality,population
Akmenės,19845
Alytaus,52034
Alytaus,27533
Anykščių,23400
Birštono,4339
Biržų,23540
Druskininkų,21280
Elektrėnų,27058
Ignalinos,14357
Jonavos,43158
Joniškio,20950
Jurbarko,27259
Kaišiadorių,28681
Kalvarijos,10146
Kauno,314208
Kauno,117649
Kazlų,11346
Kelmės,25607
Klaipėdos,170519
Klaipėdos,75782
Kretingos,39555
Kupiškio,16278
Kėdainių,47867
Lazdijų,18120
Marijampolės,56875
Mažeikių,54753
Molėtų,17393
Neringos,5404
Pagėgių,7836
Pakruojo,18485
Palangos,19779
Panevėžio,88363
Panevėžio,37942
Pasvalio,23031
Plungės,34691
Prienų,26023
Radviliškio,35911
Raseinių,30907
Rietavo,7471
Rokiškio,27973
Skuodo,16488
Tauragės,40626
Telšių,41016
Trakų,38164
Ukmergės,36543
Utenos,40128
Varėnos,20979
Vilkaviškio,35594
Vilniaus,632476
Vilniaus,118475
Visagino,21116
Zarasų,15022
Šakių,26761
Šalčininkų,32609
Šiaulių,121288
Šiaulių,42836
Šilalės,21924
Šilutės,40908
Širvintų,15468
Švenčionių,22780
