name,is_hazardous,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,close_approach_date,orbiting_body
415949 (2001 XY10),False,355.267088298,794.4013596028,15.8905264223,50452409.349026635,2024-01-02,Earth
(2003 SR84),False,16.7708462163,37.5007521798,10.7191818981,19798169.933318187,2024-01-02,Earth
(2005 YQ96),True,199.78136523,446.7247132921,15.6702817644,24984732.5591945,2024-01-02,Earth
(2009 HC21),False,101.054341542,225.9643771094,6.0808661718,73609796.92499082,2024-01-02,Earth
(2010 XA11),False,16.0160337979,35.8129403019,8.7413828775,35275514.131770484,2024-01-02,Earth
(2011 YP10),False,43.3066885476,96.8366994728,5.8070023218,10545147.184234997,2024-01-02,Earth
(2012 SD22),True,259.7496533301,580.817881978,11.0227943004,24597313.4350941,2024-01-02,Earth
(2017 YD8),False,112.3453176718,251.2117672679,18.9936426332,30107678.45149672,2024-01-02,Earth
(2019 KK5),False,73.545308935,164.452310205,20.8331302779,3904096.678005315,2024-01-02,Earth
613286 (2005 YQ96),True,198.8634532359,444.6721996757,15.6702896005,24984795.0462248,2024-01-02,Earth
(2023 AW),False,19.433676839,43.4550224647,5.3000317604,16252312.970794676,2024-01-02,Earth
(2023 XZ4),False,41.1675457307,92.0534307207,11.3259084311,21691678.389301687,2024-01-02,Earth
(2023 YR),False,27.8326768072,62.2357573367,12.2195715368,1729961.781388961,2024-01-02,Earth
(2024 AA),False,8.7610261497,19.5902500233,21.4321092699,610571.843293909,2024-01-02,Earth
(2022 OY78),False,14.0784543386,31.4803809193,8.8314719331,17553928.179055236,2024-01-02,Earth
(2024 AQ1),False,47.924211552,107.1617947985,15.469545141,6556678.638970726,2024-01-02,Earth
(2024 AA2),False,207.2788433771,463.4895840887,16.000245467,28794164.5278521,2024-01-02,Earth
(2024 AR3),False,50.6471458835,113.2504610618,13.0433070531,7878470.456033288,2024-01-02,Earth
(2024 BK1),False,33.6166921158,75.1692087496,5.8516481506,36368802.56262325,2024-01-02,Earth
669051 (2012 SD22),True,256.1857544793,572.8487618827,11.0227939149,24597309.695147347,2024-01-02,Earth
(2024 KY),False,13.3215566698,29.7879062798,6.2809825165,35127451.53983093,2024-01-02,Earth
(2024 KJ1),False,15.2249185036,34.043952726,4.9851096001,16030952.32936526,2024-01-02,Earth
(2015 OD22),False,152.249185036,340.4395272595,25.3931645932,65417380.10969937,2024-01-01,Earth
(2018 BA),False,26.58,59.4346868419,16.7051869184,59256680.30071449,2024-01-01,Earth
(2020 BC),False,15.2951935344,34.201092472,8.3141771772,25070662.218993343,2024-01-01,Earth
(2021 SG2),False,20.7278843377,46.3489584089,19.2601228725,71794479.50579,2024-01-01,Earth
(2022 AO2),False,38.5971267955,86.3057992509,19.5135931126,55049570.13010699,2024-01-01,Earth
(2023 YR1),False,19.433676839,43.4550224647,13.3007172773,2485481.24489392,2024-01-01,Earth
(2023 YY1),False,18.644681832,41.6907759952,6.4760794463,4058906.896831003,2024-01-01,Earth
(2024 AV2),False,12.4897854067,27.9280091938,8.0634346109,1452207.844256913,2024-01-01,Earth
(2024 AA6),False,25.1509837491,56.239309364,7.1243393888,7351471.447855092,2024-01-01,Earth
(2025 AB),False,9.9667823997,22.2864029626,7.7572149549,23693200.7560047,2024-01-01,Earth
(2003 JV14),False,140.1376971662,313.3574170739,13.6603242742,39218727.406507015,2024-01-03,Earth
(2011 YE40),False,24.2412481101,54.2050786336,13.0832838643,17737010.465498403,2024-01-03,Earth
(2012 AB11),False,91.3177025518,204.1925904549,18.3613912555,42945020.55338935,2024-01-03,Earth
(2012 LJ2),False,121.4940407996,271.6689340891,17.3904977402,72656389.98248155,2024-01-03,Earth
(2013 NT11),False,336.1669211578,751.6920874957,37.852109203,58024777.65499457,2024-01-03,Earth
(2016 GZ215),False,161.6422833399,361.4431335863,3.7257304746,47416427.49497433,2024-01-03,Earth
(2017 UJ2),False,1.7561231848,3.9268108181,5.6646429678,41723362.16037001,2024-01-03,Earth
(2017 WQ1),False,26.8259417119,59.9846292283,21.6521650376,58770868.08443172,2024-01-03,Earth
(2019 AE3),False,8.801465209,19.6806745089,8.5121919111,32886309.79750948,2024-01-03,Earth
(2020 BG1),False,101.9893858518,228.0551997482,8.5169042448,65717561.10127119,2024-01-03,Earth
(2020 OU),False,95.1820329819,212.8334959841,9.9486934797,53503979.18145465,2024-01-03,Earth
(2022 JM),False,4.6190746028,10.328564805,4.2043854371,24915574.929952625,2024-01-03,Earth
(2023 AE2),False,25.5008687857,57.0216760901,11.2855377655,62234185.289850384,2024-01-03,Earth
(2023 RM9),False,79.1689666942,177.0271912367,12.9687880565,63970228.434091866,2024-01-03,Earth
(2023 WQ1),False,121.4940407996,271.6689340891,5.9212184218,33143995.883491017,2024-01-03,Earth
(2023 XN7),False,110.2947845322,246.6266357777,13.9569847431,36285724.08862874,2024-01-03,Earth
(2024 AS),False,24.1298696921,53.9560289198,7.3946974298,9293487.461979702,2024-01-03,Earth
(2024 AA3),False,18.7307417731,41.8832118738,10.7365146763,5207160.128285559,2024-01-03,Earth
(2024 AH3),False,19.5233786156,43.655601735,9.8836904204,2692217.677265319,2024-01-03,Earth
(2024 AM3),False,12.7219878539,28.4472296503,9.6391324361,2680032.137885108,2024-01-03,Earth
(2024 BB8),False,141.4343753131,316.2568775553,12.1295509121,69506951.39840552,2024-01-03,Earth
668499 (2012 AB11),False,91.3177025518,204.1925904549,18.3613912419,42945020.56834914,2024-01-03,Earth
