"state","Unit","Date","Value"
"Nigeria","NGN per litre","2016M1","109.6"
"Nigeria","NGN per litre","2016M2","99.8"
"Nigeria","NGN per litre","2016M3","135.7"
"Nigeria","NGN per litre","2016M4","162.8"
"Nigeria","NGN per litre","2016M5","150.3"
"Nigeria","NGN per litre","2016M6","148.5"
"Nigeria","NGN per litre","2016M7","147.7"
"Nigeria","NGN per litre","2016M8","147.3"
"Nigeria","NGN per litre","2016M9","146.3"
"Nigeria","NGN per litre","2016M10","145.9"
"Nigeria","NGN per litre","2016M11","146.7"
"Nigeria","NGN per litre","2016M12","146.7"
"Nigeria","NGN per litre","2017M1","148.7"
"Nigeria","NGN per litre","2017M2","149.80777138031"
"Nigeria","NGN per litre","2017M3","149.394793047626"
"Nigeria","NGN per litre","2017M4","149.866814427379"
"Nigeria","NGN per litre","2017M5","150.690850776882"
"Nigeria","NGN per litre","2017M6","150.284682909099"
"Nigeria","NGN per litre","2017M7","148.207227292227"
"Nigeria","NGN per litre","2017M8","144.434331424858"
"Nigeria","NGN per litre","2017M9","144.517404988343"
"Nigeria","NGN per litre","2017M10","145.991387786273"
"Nigeria","NGN per litre","2017M11","145.604324324324"
"Nigeria","NGN per litre","2017M12","171.786082308876"
"Nigeria","NGN per litre","2018M1","190.874888806884"
"Nigeria","NGN per litre","2018M2","172.460549966052"
"Nigeria","NGN per litre","2018M3","163.394864864865"
"Nigeria","NGN per litre","2018M4","151.395945945946"
"Nigeria","NGN per litre","2018M5","150.165405405405"
"Nigeria","NGN per litre","2018M6","148.086914362495"
"Nigeria","NGN per litre","2018M7","146.818572817154"
"Nigeria","NGN per litre","2018M8","146.899886104234"
"Nigeria","NGN per litre","2018M9","147.330106853791"
"Nigeria","NGN per litre","2018M10","147.225023617282"
"Nigeria","NGN per litre","2018M11","147.45856981851"
"Nigeria","NGN per litre","2018M12","145"
"Nigeria","NGN per litre","2019M3","145.3"
"Nigeria","NGN per litre","2019M4","145.923177452621"
"Nigeria","NGN per litre","2019M5","145.033191744045"
"Nigeria","NGN per litre","2019M6","145.359207562884"
"Nigeria","NGN per litre","2019M7","145.02657927038"
"Nigeria","NGN per litre","2019M8","145.482702702703"
"Nigeria","NGN per litre","2019M9","145.530845657318"
"Nigeria","NGN per litre","2019M10","145.475448124856"
"Nigeria","NGN per litre","2019M11","145.944221588455"
"Nigeria","NGN per litre","2019M12","145.348598689009"
"Nigeria","NGN per litre","2020M1","145.368918918919"
"Nigeria","NGN per litre","2020M2","145.413858669608"
"Nigeria","NGN per litre","2020M3","145.399934439228"
"Nigeria","NGN per litre","2020M4","130.840398931575"
"Nigeria","NGN per litre","2020M5","129.673368788995"
"Nigeria","NGN per litre","2020M6","128.883499155945"
"Nigeria","NGN per litre","2020M7","143.62608791473"
"Nigeria","NGN per litre","2020M8","148.77521565817"
"Nigeria","NGN per litre","2020M9","161.057239241849"
"Nigeria","NGN per litre","2020M10","161.170154762213"
"Nigeria","NGN per litre","2020M11","167.274142643469"
"Nigeria","NGN per litre","2020M12","165.699083352218"
"Nigeria","NGN per litre","2021M1","164.094491623859"
"Nigeria","NGN per litre","2021M2","166.239634389345"
"Nigeria","NGN per litre","2021M3","172.679016203692"
"Nigeria","NGN per litre","2021M4","166.381666091593"
"Nigeria","NGN per litre","2021M5","168.063173423816"
"Nigeria","NGN per litre","2021M6","165.607572878323"
"Nigeria","NGN per litre","2021M7","165.905530617252"
"Nigeria","NGN per litre","2021M8","164.90871617064"
"Nigeria","NGN per litre","2021M9","164.850163438286"
"Nigeria","NGN per litre","2021M10","165.60359892202"
"Nigeria","NGN per litre","2021M11","167.597763703027"
"Nigeria","NGN per litre","2021M12","165.767554815349"
"Nigeria","NGN per litre","2022M1","166.398655101929"
"Nigeria","NGN per litre","2022M2","170.424756526643"
"Nigeria","NGN per litre","2022M3","185.296636469256"
"Nigeria","NGN per litre","2022M4","172.61027027027"
"Nigeria","NGN per litre","2022M5","173.079869810133"
"Nigeria","NGN per litre","2022M6","175.894939026518"
"Nigeria","NGN per litre","2022M7","190.010805115217"
"Nigeria","NGN per litre","2022M8","189.463441406114"
"Nigeria","NGN per litre","2022M9","191.647567567568"
"Nigeria","NGN per litre","2022M10","195.293977404236"
"Nigeria","NGN per litre","2022M11","202.479915602416"
"Nigeria","NGN per litre","2022M12","206.187378949879"
"Nigeria","NGN per litre","2023M1","257.118725109515"
"Nigeria","NGN per litre","2023M2","263.755657327588"
"Nigeria","NGN per litre","2023M3","264.28955983956"
"Nigeria","NGN per litre","2023M4","254.056230801084"
"Nigeria","NGN per litre","2023M5","238.113304233351"
"Nigeria","NGN per litre","2023M6","545.827388289153"
"Nigeria","NGN per litre","2023M7","600.347517904097"
"Nigeria","NGN per litre","2023M8","626.699840338076"
"Nigeria","NGN per litre","2023M9","626.212175823623"
"Nigeria","NGN per litre","2023M10","630.634377835113"
"Nigeria","NGN per litre","2023M11","648.933552097619"
"Nigeria","NGN per litre","2023M12","671.858205065442"
"Nigeria","NGN per litre","2024M1","668.296550683408"
"Nigeria","NGN per litre","2024M2","679.36448345666"
"Nigeria","NGN per litre","2024M3","696.787226749711"
"Nigeria","NGN per litre","2024M4","701.244425094425"
"Nigeria","NGN per litre","2024M5","769.62"
"Nigeria","NGN per litre","2024M6","750.172275129667"
"Nigeria","NGN per litre","2024M7","770.54188412553"
"Nigeria","NGN per litre","2024M8","830.455008874239"
"Nigeria","NGN per litre","2024M9","1030.46338757257"
"Nigeria","NGN per litre","2024M10","1184.82542252558"
"Nigeria","NGN per litre","2024M11","1214.17"
"Nigeria","NGN per litre","2024M12","1189.12"
"Nigeria","NGN per litre","2025M1","1258.34"
"Nigeria","NGN per litre","2025M2","1245.8"
"Nigeria","NGN per litre","2025M3","1261.64576720815"
"Nigeria","NGN per litre","2025M4","1239.32711142851"
"Nigeria","NGN per litre","2025M5","1027.76"
"Nigeria","NGN per litre","2025M6","1037.66"
"Nigeria","NGN per litre","2025M7","1024.99"
